"time","context","item","Position","Length","sentence","질문","답변"
1,"surface",1,"Object","SFN","학생이 모든 약을 안 먹었다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 학생이 모든 약을 안 먹었다.
답변:","아니오"
1,"surface",1,"Object","LFN","학생이 모든 약을 먹지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 학생이 모든 약을 먹지 않았다.
답변:","아니오"
1,"surface",1,"Subject","SFN","모든 학생이 약을 안 먹었다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 학생이 약을 안 먹었다.
답변:","예"
1,"surface",1,"Subject","LFN","모든 학생이 약을 먹지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 학생이 약을 먹지 않았다.
답변:","예"
1,"surface",2,"Object","SFN","선생님이 모든 옷을 안 샀다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 선생님이 모든 옷을 안 샀다.
답변:","예"
1,"surface",2,"Object","LFN","선생님이 모든 옷을 샀지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 선생님이 모든 옷을 샀지 않았다.
답변:","아니오"
1,"surface",2,"Subject","SFN","모든 선생님이 옷을 안 샀다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 선생님이 옷을 안 샀다.
답변:","예"
1,"surface",2,"Subject","LFN","모든 선생님이 옷을 샀지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 선생님이 옷을 샀지 않았다.
답변:","예"
1,"surface",3,"Object","SFN","동료가 모든 상자를 안 버렸다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 동료가 모든 상자를 안 버렸다.
답변:","예"
1,"surface",3,"Object","LFN","동료가 모든 상자를 버리지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 동료가 모든 상자를 버리지 않았다.
답변:","예"
1,"surface",3,"Subject","SFN","모든 동료가 상자를 안 버렸다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 동료가 상자를 안 버렸다.
답변:","예"
1,"surface",3,"Subject","LFN","모든 동료가 상자를 버리지 않았다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 모든 동료가 상자를 버리지 않았다.
답변:","예"
1,"surface",4,"Object","SFN","선배가 모든 라면을 안 먹었다.","[질문] 다음 문장이 단락을 올바르게 요약했는가? 오로지 '예' 또는 '아니오'로만 답하라.
문장: 선배가 모든 라면을 안 먹었다.
답변:","예"
