subject,Position,Length,context,item,sentences,answer,yes_ratio
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,SFN,inverse,8,그날 매장에 방문한 네 명의 고객들 중 두 명은 의자를 사지만%2C 나머지 고객들은 의자를 사지 않았다.<br>그 고객들은 생각보다 불편하거나 가격이 너무 비싸다고 생각했다.<br>결국 매장에는 네 개의 의자만이 팔렸다.<br><br> 요약문장: 모든 고객이 의자를 안 샀다.,아니오,0
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,LFN,surface,21,그날 수업에 참석한 학생 여섯 명이 모두 책을 가져왔지만%2C 아무도 책을 읽지 않았다.<br>수업 내용이 워낙 바쁘고 책을 읽을 시간이 없었기 때문이다.<br>선생님은 책 대신 다른 자료로 수업을 진행했다.<br><br> 요약문장: 모든 학생이 책을 읽지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,LFN,surface,9,참가자는 행사에서 제공된 콜라 다섯 종류를 먹고 싶었지만%2C 결국 아무 콜라도 마시지 않았다.<br>건강을 생각해 음료 대신 물을 선택했기 때문이다.<br>참가자는 콜라가 있는 쪽으로 가지 않고 다른 음료 코너로 이동했다.<br><br> 요약문장: 참가자가 모든 콜라를 먹지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,LFN,inverse,6,가게에 있던 직원 다섯 명 중 두 명은 신발을 판매했지만%2C <br>나머지 직원들은 손님들과의 실랑이 끝에 신발을 팔지 않았다.<br>신발을 팔지 않은 직원들은 아쉬워하며 판매 기록을 정리했다.<br><br> 요약문장: 모든 직원이 신발을 팔지 않았다.,아니오,0
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,SFN,surface,15,후배 열 명이 동아리 방에 있는 비상약을 정리해야 했지만%2C 아무도 약을 버리지 않았다.<br>모든 약의 유통기한이 남았고%2C 나중에 비상시에 사용할 수도 있다는 생각이 들었기 때문이다.<br><br><br> 요약문장: 모든 후배가 약을 안 버렸다.,NULL,NA
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,LFN,inverse,18,동료가 탕비실에 있는 과자 다섯 봉지 중에서 <br>상한 과자 세 봉지만 버리고%2C 나머지 과자 두 봉지는 남겨두었다.<br>버린 과자는 분리수거하고%2C 남은 과자는 간식 코너에 정리해 두었다.<br><br> 요약문장: 동료가 모든 과자를 버리지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,LFN,surface,1,한 학생이 친구와 밖에서 눈싸움을 하고 나서 감기에 걸렸다.<br>엄마가 그 학생과 친구에게 각각 약을 세 개씩 주면서 먹으라고 한다.<br>친구는 바로 약 세 개를 먹었다.<br>학생은 약을 집어 들었지만 약이 너무 써서 안 먹었다.<br><br> 요약문장: 학생이 모든 약을 먹지 않았다.,아니오,0
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,LFN,surface,5,후배들 세 명과 같이 간식으로 과자를 나눠 먹으려고 과자를 샀는데%2C 아무도 과자를 먹지 않았다.<br>다들 식사 시간이 가까워서 간식을 피하기로 했기 때문이다.<br>결국 과자는 그대로 남아 있었고%2C 아무도 손을 대지 않았다.<br><br> 요약문장: 모든 후배가 과자를 먹지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,SFN,inverse,4,선배는 테이블에 놓인 라면 세 종류 중에서 두 가지만 먹고%2C 다른 라면은 남겨두었다.<br>이미 배가 불러 더 이상 먹을 수 없었다.<br>선배는 남은 라면을 후배들에게 나눠주었다.<br><br> 요약문장: 선배가 모든 라면을 안 먹었다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,LFN,inverse,10,친구는 문구점에서 세 개의 지우개를 살펴봤지만%2C <br>그 중에서 두 개만 구매하고%2C 나머지 지우개 하나는 잘 지워지지 않아서 사지 않았다.<br>친구는 구매한 두 개의 지우개를 기분 좋게 가방에 넣었다.<br><br> 요약문장: 친구가 모든 지우개를 사지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,LFN,inverse,14,그날 모임에 참석한 일곱 분의 선배들 중 세 분은 과일을 먹었지만%2C 나머지 네 분은 과일을 드시지 않았다.<br>그 선배들은 이미 망고 디저트를 드셨던 것이다.<br>결국 과일을 많이 남기게 되었다.<br><br> 요약문장: 모든 선배가 과일을 먹지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Subject,LFN,surface,13,사무실에 있던 동료 네 명이 냉장고에 있는 포도를 정리하려고 했지만%2C 결국 아무도 포도를 버리지 않았다.<br>포도가 아직 신선해서 며칠 더 먹을 수 있다고 생각했기 때문이다.<br><br> 요약문장: 모든 동료가 포도를 버리지 않았다.,예,1
1732774741-77108a0625b3d30c4a7d7b0df7586564,Object,SFN,surface,3,동료는 사무실에 쌓여 있던 다섯 개의 상자를 처리하려고 했지만%2C 상자 안에 중요한 서류가 있을 수도 있다고 생각해 결국 하나도 버리지 않았다.<br>대신 그는 상자를 옮겨 정리하기로 했다.<br><br> 요약문장: 동료가 모든 상자를 안 버렸다.,예,1
