"Qtype","item","Position","Length","sentence","질문","답변","reading"
"Q1",97,"Object","SFN","학생이 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 학생이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 학생이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",99,"Object","SFN","선생님이 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 선생님이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 선생님이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",101,"Object","SFN","동료가 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 동료가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 동료가 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",103,"Object","SFN","선배가 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 선배가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 선배가 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",105,"Object","SFN","후배가 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 후배가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 후배가 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",107,"Object","SFN","직원이 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 직원이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 직원이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",108,"Object","LFN","직원이 모든 옷을 사지 않았다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 직원이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 직원이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",109,"Object","SFN","손님이 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 손님이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 손님이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",111,"Object","SFN","고객이 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 고객이 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 고객이 그 중에 5벌 산 것이다.
답변:","A","surface"
"Q1",113,"Object","SFN","참가자가 모든 옷을 안 샀다.","[질문1] 제시된 문장 다음에 이어질 문장으로 적절한 것을 선택하라. 오로지 'A' 또는 'B'로만 답하라.
A: 즉, 옷이 10벌 있었는데 참가자가 그 중에 0벌 산 것이다.
B: 즉, 옷이 10벌 있었는데 참가자가 그 중에 5벌 산 것이다.
답변:","A","surface"
