"subject","Position","Length","item","sentence","answer","reading"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",11,"모든 학생이 라면을 먹지 않았다.","즉%2C 학생이 3명 있었는데 그 중에 2명이 라면을 먹은 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",6,"직원이 모든 신발을 팔지 않았다.","즉%2C 신발이 8켤레 있었는데 직원이 그 중에 5켤레 판 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",28,"모든 직원이 회의록을 안 읽었다.","즉%2C 직원이 6명 있었는데 그 중에 3명이 읽은 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",8,"모든 고객이 의자를 안 샀다.","즉%2C 고객이 3명 있었는데 그 중에 0명이 의자를 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",31,"모든 상담원이 전화를 받지 않았다.","즉%2C 상담원이 3명 있었는데 그 중에 0명이 전화를 받은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",9,"참가자가 모든 콜라를 먹지 않았다.","즉%2C 콜라가 3개 있었는데 참가자가 그 중에 2개 먹은 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",22,"선배가 모든 초콜릿을 안 먹었다.","즉%2C 초콜릿이 3개 있었는데 선배가 그 중에 0개 먹은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",20,"모든 친구가 의자를 안 팔았다.","즉%2C 친구가 3명 있었는데 그 중에 0명이 의자를 판 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",7,"모든 손님이 가방을 사지 않았다.","즉%2C 손님이 8명 있었는데 그 중에 0명이 가방을 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",1,"학생이 모든 약을 먹지 않았다.","즉%2C 약이 10개 있었는데 학생이 그 중에 6개 먹은 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","LFN",15,"모든 후배가 약을 버리지 않았다.","즉%2C 후배가 4명 있었는데 그 중에 0명이 약을 버린 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",10,"친구가 모든 지우개를 안 샀다.","즉%2C 지우개가 3개 있었는데 친구가 그 중에 2개 산 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",2,"선생님이 모든 옷을 안 샀다.","즉%2C 옷이 10개 있었는데 선생님이 그 중에 0개 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","SFN",30,"참가자가 모든 추가서류를 안 냈다.","즉%2C 추가서류가 3개 있었는데 그 중에 2개를 낸 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",12,"모든 선생님이 라면을 안 버렸다.","즉%2C 선생님이 3명 있었는데 그 중에 0명이 라면을 버린 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",32,"모든 승무원이 안내문을 안 읽었다.","즉%2C 승무원이 3명 있었는데 그 중에 0명이 읽은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",16,"모든 직원이 가방을 안 팔았다.","즉%2C 직원이 4명 있었는데 그 중에 0명이 가방을 판 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Subject","SFN",24,"모든 손님이 잡지를 안 읽었다.","즉%2C 손님이 7명 있었는데 그 중에 0명이 잡지를 읽은 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",29,"고객이 모든 쿠폰을 사용하지 않았다.","즉%2C 쿠폰이 6개 있었는데 그 중에 3개를 사용한 것이다.","inverse"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",17,"손님이 모든 신발을 사지 않았다.","즉%2C 신발이 5켤레 있었는데 손님이 그 중에 0켤레 산 것이다.","surface"
"1732790714-6348a318f3cc6b0b2d8bb382d60f12e5","Object","LFN",13,"동료가 모든 포도를 버리지 않았다.","즉%2C 포도가 4송이 있었는데 동료가 그 중에 0송이 버린 것이다.","surface"
